indexnummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated
02113,0,0,0,2229,0,10,0,0,1224,-13666.71,3483.07,-13666.71,-10183.64,3483.07,-13666.71,-10183.64,NA
02114,0,0,0,5857.87,0,3341,120,90,26545.62,-43952.53,10656.11,-33296.42,-7958.8,10656.11,-43952.53,-7958.8,NA
02118,162240,13130,82314,85183,666,93752,44818,2397,8139,-14537.11,492586.2,-14537.11,478049.08,492459.53,-14537.11,477922.42,NA
02119,38010,21065,212912,89858,45374,2075,2817,103031,2539,-1339.98,518833.04,-1339.98,258231.48,259416.52,-1185.04,258231.48,NA
02122,0,109,26034,8982,671,37505,463,23,3145,-680.8,76979.67,-680.8,38149.39,38489.83,-340.45,38149.39,NA
02123,0,17763,6715,47301,27004,62939,1850,1256,6252,-863.57,171304.01,-863.57,169672.47,171302.76,-1631.54,169671.22,NA
04024,364884,103818.03,167704.13,161171.71,22695.995,0,33678.005,26385.9,21831,-5211.745,588421.73,-5211.745,587719.29,590674.615,-2957.095,587717.52,593526.3556431426
04025,40179.6,0,28503.84,1711.92,0,0,0,1527.94,14562.56,-3599.18,63048.76,-2329.27,60719.49,63048.76,-2329.27,60719.49,55446.196069388854
04033,170536.8,246,37163,32441,308,19764,1975,6537,10871,-14755.91,276961.98,-14755.91,262384.17,277447.83,-16371.08,261076.75,203944.19586540625
04054,24254,12797,28091,749,7404,1427,0,107,5066,-393,80068,-781,79286,79948,-781,79166,75323.91652072927
04055,55598,4000,41511,12290.43,4224,256,24123,1554,15222,-8362.04,158211.9,-8362.04,149879.21,158760.15,-8362.09,150398.06,137336.46845873885
04071,28100,0,14281,2612,0,6411,0,1315,10583,-18210.14,63331.6,-18210.14,45121.45,63177.64,-18210.14,44967.49,30953.68552203301
04232,163497,0,8100,28073,0,6900,0,2624,18268,-3338,226963.83,-4516.81,222447.02,226963.83,-4516.81,222447.02,211489.03876011592
04233,648905,209324,205216,10792,3639,12875,79545,19027,13490,-1065.8,1202816.55,-1065.8,1201750.75,1203044.05,-1065.8,1201978.25,871238.6150266143
04317,42100,136709,152951,40370,0,76004,16794,5796,22964,-266130.39,311262.99,-2112.18,309150.86,311262.99,-2112.18,309150.86,NA
04350,43864,228979,305047,133139,0,1150.5,0,13131,28514,-1162.06,785169.9,-1162.06,775624.87,785169.9,-9545.02,775624.87,533906.791529786
04362,31350,0,2065,5000,6748,26786,0,1000,19643,-850,56069.775,-900,55969.775,60407.965,-900,59507.965,40962.72295087289
10003,9531812,17875,1482938,1041301,139392,1597921,42872,1130,1405494,-3275113.25,15262172.57,-3275113.25,11987059.35,15262201.37,-3265603.21,11996598.15,NA
C4,1014955,119820,7320,158039.53,27072,174919,38237,2303,25806,-82428.98,909233.83,-73524.52,835709.3,909233.83,-73524.52,835709.3,NA
C9,47380,13861,99705,112811,133231,100830,37174,3968,26582,-30047.01,582565.99,-30047.01,480878.1,582565.49,-30047.81,552018.18,NA
G100,309381,3360,14728,57802,7371,9792,5283,6762,17724,-5456,429216.785,-6153.415,423063.37,429216.785,-6153.415,423063.37,NA
G101,860137.08,412562,164862,231520,0,2656,0,62505,33087,-3518.86,1482798.26,-3518.86,1478846.35,1482798.26,-3518.86,1478846.35,NA
G102,192747.5,0,0,1069.5,0,0,0,357,18654.5,-132467.33,213239,-132468.44,80770.56,213239,-132468.44,80770.56,NA
G103,72933,0,35105,6196,59452,56091,0,2150,18701,-1824,250585.705,-1824.85,248760.855,250585.705,-1824.85,248760.855,NA
G105,144000,104147.5,106202.51,40312.5,6917.87,15712,6136,9000,5000,-700,445024.13,-700,444324.13,445024.13,-700,444324.13,NA
G108,116060,32966,14299,54214,0,36780,0,0,4617,-10311,175842,-10311,82656.52,93601,-5355.62,88245.38,NA
G109,126026,0,1275,3355.5,5037,13379.2,0,0,12139.5,-57571.21,160994.57,-57571.21,103423.35,160994.57,-57571.21,103423.35,NA
G110,96869,12300,0,1235,1217,1109,0,177,4170,-7172,117087.08,-6982.22,68625.27,73179.42,-4554.15,68625.27,NA
G111,145126,0,26009,17750,0,6305,0,0,13314,-69188.95,209564.32,-69188.95,140375.36,209597.32,-65721.66,143875.65,NA
G114,69020,0,29663.5,23546.18,6212,2899,0,2308,9921.26,-3035.7,143634.5,-3035.7,140598.8,143634.5,-3035.7,140598.8,NA
G116,0,11463,10078,47102,16623,30901,450,2274,3241,-21557,75128,-17390,57738,75208,-17390,57818,NA
G117,517441.29,31405.44,48597.54,366697.75,48038.9,17654.5,4682.5,44451.84,37993.39,-400,449913.57,-536.57,449377,449913.57,-536.57,449377,NA
G12,109500,0,0,17760,0,30100,0,600,2000,-2375,97590,-2450,95140,97590,-2450,95140,NA
G120,118640,79942,195423,214597,46821,367524,439,7350,61789,-544050.09,1090547.43,-544050.09,1076718.3,1079515.24,-2796.94,1076718.3,NA
G121,42209,81827,146136,63610,53019,19651,5739,5345,1374,-2299.22,424562.66,-2299.22,422313.3,424612.53,-2299.22,422313.2,NA
G122,0,2397,54093,4206,8276,26119,1128,2168,7668,-3842,100613.18,-5109.53,95503.65,100614.795,-5709.53,95505.265,NA
G123,325622,15686,4326,29743,1230,45515,6712,3645,23022,-7704,187170,-3899,183272,187170,-3899,183271,NA
G124,12000,19631,120112,7536,0,7395,0,697,4600,-119945.13,175456.95,-119945.13,55911.82,175456.95,-119945.13,55911.82,NA
G126,262120,112393.31,72439.8,126935.01,37753,625876,23710,711.85,39594,-6048,1188381.445,-3513.665,1184867.78,1188355.02,-3162.855,1185187.215,NA
G127,172198.9,0,0,26188.54,0,230075,0,300,10491.54,-22998.475,439253.98,-22998.475,416255.505,439253.98,-22998.475,416255.505,NA
G128,145521,0,24583,6590,0,304,0,1960,12190,-12009.84,193324.77,-12009.84,181134.93,193324.77,-12009.84,181134.93,NA
G129,56298.02,0,0,0,0,0,0,0,0,0,56298.02,-59830.61,-3532.59,56298.02,-59830.61,-3532.59,NA
G13,0,0,0,930,0,324,0,726,12051,-3070.59,14113.61,-3070.59,11043.02,14113.61,-3070.59,11043.02,NA
G132,0,0,500,0,0,27660,0,0,0,-70302.02,28160,-70302.02,-42142.02,28160,-70302.02,-42142.02,NA
G133,0,0,0,0,0,0,0,0,1490,-270,1490,-270,1220,1490,-270,1220,NA
G134,2850,0,1009,4010,316,1863,1432,625,2046,-12000,20654.04,-4287.53,16366.51,20654.04,-4287.53,16272.51,NA
G135,289100,54228,8304,90297,516,120802,29421.5,2245,21921.25,-59064,619630,-59064,560565,619729.12,-59064.58,560664.54,NA
G136,0,0,0,0,0,0,0,0,0,0,3924.99,-5757.6,3924.99,3924.99,-5757.6,-1832.61,NA
G138,53310,7644.92,0,22176,0,82850,0,0,6725,0,160761.62,0,160761.62,160761.62,0,160761.62,NA
G141,0,7326,44176,7044,10000,23284,279,1206,4129,-3622.05,82768.78,-3622.05,80146.73,82768.78,-3622.05,79146.73,NA
G143,3500,0,0,467,0,0,0,125,1908,-3000,6000,-3000,3000,6000,-3000,3000,NA
G146,713272,257,588102,75153,1091170,309927,140320,0,55627,-2619.51,4507219.44,-2619.51,4504599.93,4507219.44,-2619.51,4504599.93,NA
G149,71122,400,87,29452,0,1645,0,325,3850,-5452.11,100875.88,-5452.11,49378.07,100875.88,-5452.11,49378.07,NA
G150,104251,0,11196,26632,35712,611,1310,1836,12718,-22367,195011.815,-21175.61,173836.205,208369.015,-25877.96,186509.055,NA
G151,268952,19231,5275,45362,0,12826,0,2167,10554,-4635,288357.43,-3558.18,284799.24,288357.43,-3558.18,284799.24,NA
G152,74273,82604.25,40116,321721,95172.75,45761.8,2450,0,12712.16,-1099.17,669775.16,-1099.17,668675.99,669775.16,-1099.17,668675.99,NA
G153,60405,47691,1912,97054,2368,80303,147,2684,4034,-650,296642.04,-650,287780.4,288430.4,-656,287780.4,NA
G154,38725,0,24883,18515,153612.5,220149.5,132007,1996,14150,-75238.97,604038.02,-75238.97,528899.05,607296.02,-75638.97,531657.05,NA
G156,12000,5238,2469,35392,4102.2,26029.35,2424.9,252,4720,-14639.67,100148.57,-14639.67,85503.94,100143.57,-14639.63,85503.94,NA
G157,33450,3812,0,1810,2312,32187,0,635,5286,-5610.6,79800.68,-5610.6,74190.08,79775.65,-5460.6,74315.08,NA
G158,67732,38914,7896,107322,27346,94939,3000,1524,9662,-3588.24,400086.89,-3588.24,396498.65,399909.62,-3370.71,396538.91,NA
G159,1283985,84375,25093,37976,96760,302764,25064,300,113542,-156318.72,1815085,-156318.72,1730425.64,1817475,-37899.01,1719575.99,NA
G160,89450,585,9724,137640,5020,75926,198,2272,13480,-44541.04,350602.44,-44541.04,306061.4,348060.7,-44541.04,303519.66,NA
G161,26002,20525,74460,109167,195932,43474,31692,870,17870,-4408.45,442334.01,-4408.45,437925.56,442334.01,-4408.45,437925.56,NA
G162,77438,0,0,617,0,7183,0,180,1911,-15004.88,86637.87,-15004.88,71632.99,86638.87,-15004.88,71633.99,NA
G165,303013,91169,85446,430889.45,2632,79429,1391,7820,13536,-14730.53,1033272.45,-14730.53,291910.36,292045.39,-470.97,292374.62,NA
G166,70250,0,0,4935,2450,2,0,4500,1581,-50436.5,83720.59,-50436.5,33284.09,83720.59,-50436.5,33284.09,NA
G169,68100,18726,25276,113318,0,1750,0,22909,16390,-146438.39,266480.77,-146438.39,120042.38,266560.9,-149109.4,117451.5,NA
G171,84319,33540,5490,131194,172739,74863,24775,4808,19086,-315,550310.2,-315,549995.2,259465.66,-318,259160.66,NA
G172,5410,0,112696,78834,28734,28152,3915,593,10417,-18100.16,284069.46,-18100.16,265969.3,284069.46,-18100.16,265969.3,NA
G174,108745,71687,49947,414262,62573,906717,25068,5667,23917,-21311.95,1697365.55,-21311.95,1656053.6,1676833,-21312,1655521,NA
G179,42030,0,0,5070,0,0,0,80,2416,-700,49601.7,-700,48901.72,49601.72,-700,48901.72,NA
