b1_nummer;politician;vote;law;date;house;pdc_naam;category
00279;Cremer;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Cremer;fiscal
00299;van Delden;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Delden;fiscal
00293;A. baron van Dedem;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Dedem;fiscal
01113;Rink;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Rink;fiscal
00809;Levy;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Levy;fiscal
00498;Guyot;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Guyot;fiscal
01204;Schimmelpenninck van der Oye;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Schimmelpenninck van der Oye;fiscal
00666;van der Kaay;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kaay;fiscal
01384;Tydeman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Tydeman;fiscal
00264;Conrad;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Conrad;fiscal
00525;Hartogh;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Hartogh;fiscal
00862;Ae. baron Mackay;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Mackay;fiscal
01135;Roijaards van den Ham;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Roijaards van den Ham;fiscal
00469;Goeman Borgesius;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Goeman Borgesius;fiscal
00682;Kerdijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kerdijk;fiscal
00815;Lieftinck;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lieftinck;fiscal
00057;Bahlmann;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Bahlmann;fiscal
00727;Kolkman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kolkman;fiscal
01191;Schepel;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Schepel;fiscal
00696;Kielstra;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kielstra;fiscal
01391;Veegens;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Veegens;fiscal
01389;Valette;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Valette;fiscal
00584;Hintzen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Hintzen;fiscal
00889;Mees;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Mees;fiscal
01118;Roell;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Röell;fiscal
00781;Land;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Land;fiscal
00019;van Alphen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Alphen;fiscal
01180;Schaepman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Schaepman;fiscal
01385;Tijdens;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Tijdens;fiscal
00671;de Kanter;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kanter;fiscal
00917;de Meijier;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Meijier;fiscal
00107;van Beuningen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Beuningen;fiscal
00089;van Berckel;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Berckel;fiscal
00160;Bool;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Bool;fiscal
01269;Smeenge;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Smeenge;fiscal
00684;van Kerkwijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kerkwijk;fiscal
01613;Zijp;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Zijp;fiscal
00609;Houwing;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Houwing;fiscal
00553;Heldt;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Heldt;fiscal
00562;Hennequin;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Hennequin;fiscal
01404;van Velzen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Velzen;fiscal
01437;Viruly Verbrugge;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Viruly Verbrugge;fiscal
00462;Gleichman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Gleichman;fiscal
