b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct
00082;Begram;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Begram;fiscal;Gorinchem;1494;2852;326;0,319777397260274;0,6104034261089726;0,06976350756059421;99736;8448;11173;10445;3556;38674;0,198291409587090656;6,75083056478405e-02;0,73420028476506882
00186;Bots;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bots;fiscal;Eindhoven;11286;2887;5531;0,572777101096224;0,1465142143733771;0,28069417880201408;70311;4807;8638;91155;50;2594;0,971812066226718785;5,33054723397904e-04;0,02765487904988326
01281;Smitz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Smitz;fiscal;Eindhoven;11286;2887;5531;0,572777101096224;0,1465142143733771;0,28069417880201408;70311;4807;8638;91155;50;2594;0,971812066226718785;5,33054723397904e-04;0,02765487904988326
00674;Kappeyne van de Coppello;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kappeyne van de Coppello;fiscal;Haarlem;10963;12390;4361;0,395576243054052;0,4470600834831405;0,15735250808474474;167500;1919;6585;27711;1304;29021;0,477479495485560679;2,24688124612310e-02;0,50005169205320832
00857;van Lynden van Sandenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lynden van Sandenburg;fiscal;Tiel;1364;2122;246;0,365487674169346;0,5685402480029704;0,06589990558631133;63235;5441;6377;18076;1046;32709;0,348748818274777661;2,01809727769096e-02;0,63107020894831278
01437;Viruly Verbrugge;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Viruly Verbrugge;fiscal;Rotterdam;22492;53633;535;0,293399426037047;0,6996190285961200;0,00697877732775010;417461;66;440;34998;4180;63368;0,341290737815224399;4,07621945273341e-02;0,61794706765744156
00368;van Eck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Eck;fiscal;Middelburg;3592;7107;546;0,319430858159182;0,6319962757569837;0,04855080546432261;179721;11808;16126;31729;1812;55500;0,356341460675419164;2,03501757617277e-02;0,62330836356285302
00765;van Kuyk;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kuyk;fiscal;Delft;12612;12518;2356;0,458851779087535;0,4554242533570220;0,08571351357741686;223825;6165;15251;31689;3503;74238;0,289582381431051805;3,20113314447592e-02;0,67840628712418893
01557;Wintgens;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wintgens;fiscal;'s-Gravenhage;18119;37326;3451;0,307643982613420;0,6337578957517818;0,05859387461994655;486360;1189;4526;36721;1250;62172;0,366685639535464292;1,24821505247496e-02;0,62083220993978605
00031;Arnoldts;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Arnoldts;fiscal;Roermond;8338;7154;4486;0,417359095004505;0,3580864225335248;0,22453828625450037;74597;7839;19900;97304;37;3230;0,967515486571675742;3,67899295025405e-04;0,03211661413329887
