politician;vote;law;date;house
Oosterbaan;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Spiekman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Goeman Borgesius;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Brummelkamp;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Bongaerts;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
de Monte verLoren;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van Vuuren;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
de Wijkerslooth de Weerdesteyn;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Duymaer van Twist;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Beckers;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Bogaardt;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Arts;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van der Voort van Zijp;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Scheurer;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van Vlijmen;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
K.H. de Jong;1;Successiewet 1878;1878-05-24;Tweede Kamer
de Beaufort;1;Successiewet 1878;1878-05-24;Tweede Kamer
Idzerda;1;Successiewet 1878;1878-05-24;Tweede Kamer
Verniers van der Loeff;1;Successiewet 1878;1878-05-24;Tweede Kamer
Bredius jr;1;Successiewet 1878;1878-05-24;Tweede Kamer
Patijn;1;Successiewet 1878;1878-05-24;Tweede Kamer
Rombach;1;Successiewet 1878;1878-05-24;Tweede Kamer
Hingst;1;Successiewet 1878;1878-05-24;Tweede Kamer
de Vos van Steenwijk;1;Successiewet 1878;1878-05-24;Tweede Kamer
Blussé van oud Alblas;1;Successiewet 1878;1878-05-24;Tweede Kamer
van der Kaay;1;Successiewet 1878;1878-05-24;Tweede Kamer
Sandberg;1;Successiewet 1878;1878-05-24;Tweede Kamer
Stieltjes;1;Successiewet 1878;1878-05-24;Tweede Kamer
Mees;1;Successiewet 1878;1878-05-24;Tweede Kamer
Viruly Verbrugge;1;Successiewet 1878;1878-05-24;Tweede Kamer
van de Werk;1;Successiewet 1878;1878-05-24;Tweede Kamer
van Stolk;1;Successiewet 1878;1878-05-24;Tweede Kamer
van der Feltz;1;Successiewet 1878;1878-05-24;Tweede Kamer
van Harinxma thoe Slooten;1;Successiewet 1878;1878-05-24;Tweede Kamer
Oldenhuis gratama;1;Successiewet 1878;1878-05-24;Tweede Kamer
Sickesz;1;Successiewet 1878;1878-05-24;Tweede Kamer
Bastert;1;Successiewet 1878;1878-05-24;Tweede Kamer
Gevers Deynoot;1;Successiewet 1878;1878-05-24;Tweede Kamer
Luyben;1;Successiewet 1878;1878-05-24;Tweede Kamer
Moens;1;Successiewet 1878;1878-05-24;Tweede Kamer
