politician;vote;law;house;date
van den Berch van Heemstede;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Löben Sels;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Friesen;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
O.F.A.M. van Nispen tot Sevenaer;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Kolkman;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van der Vlugt;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Roessingh;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Okma;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Goeman Borgesius;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Michiels van Verduynen;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Lucasse;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Duymaer van Twist;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Idsinga;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Heemskerk;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
van Karnebeek;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
de Klerk;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Lieftinck;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
J.Th. de Visser;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
den Tex;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Hubrecht;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Stuers;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Passtoors;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
de Boer;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Mutsaers;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
vau den Heuvel;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Mees;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Merckelbach;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
Janssen;0;Antistakingswet 1903;Tweede Kamer;1903-04-09
