b1_nummer;politician;vote;law;date;house;pdc_naam;category;district
00808;Lenting;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lenting;fiscal;Zutphen
01572;Wybenga;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wybenga;fiscal;Sneek
00421;Fransen van de Putte;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Fransen van de Putte;fiscal;Rotterdam
00102;Bergsma;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bergsma;fiscal;Dokkum
01272;Smidt;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Smidt;fiscal;Assen
00784;de Lange;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lange;fiscal;Amsterdam
00828;van der Linden;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Linden;fiscal;Almelo
00931;Moens;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Moens;fiscal;Sneek
00538;Heemskerk Bzn.;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heemskerk Bzn.;fiscal;Amsterdam
01303;Stieltjes;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Stieltjes;fiscal;Amsterdam
00349;Dullert;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dullert;fiscal;Arnhem
01036;Plate;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Plate;fiscal;Rotterdam
01273;Smit;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Smit;fiscal;Ridderkerk
00468;Goekoop;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Goekoop;fiscal;Brielle
01120;Roessingh;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Roessingh;fiscal;Emmen
00404;Ferf;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Ferf;fiscal;Hoorn
00607;van Houten;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Houten;fiscal;Groningen
00400;van der Feltz;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Feltz;fiscal;Assen
00500;van Gijn;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Gijn;fiscal;Dordrecht
00071;W.H. de Beaufort;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Beaufort 2;fiscal;Amsterdam
00849;Lucasse;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lucasse;fiscal;Middelburg
01067;Pijnacker Hordijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Pijnacker Hordijk;fiscal;'s-Gravenhage
01148;Rutgers van Rozenburg;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Rutgers van Rozenburg;fiscal;Amsterdam
00279;Cremer;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Cremer;fiscal;Amsterdam
00299;van Delden;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Delden;fiscal;Deventer
00293;A. baron van Dedem;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Dedem;fiscal;Zwolle
01113;Rink;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Rink;fiscal;Arnhem
00809;Levy;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Levy;fiscal;Amsterdam
00498;Guyot;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Guyot;fiscal;'s-Gravenhage
01204;Schimmelpenninck van der Oye;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Schimmelpenninck van der Oye;fiscal;Amersfoort
00666;van der Kaay;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kaay;fiscal;Alkmaar
01384;Tydeman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Tydeman;fiscal;Tiel
00264;Conrad;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Conrad;fiscal;'s-Gravenhage
00525;Hartogh;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Hartogh;fiscal;Amsterdam
00862;Ae. baron Mackay;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Mackay;fiscal;Kampen
01135;Roijaards van den Ham;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Roijaards van den Ham;fiscal;Breukelen
00469;Goeman Borgesius;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Goeman Borgesius;fiscal;Zutphen
00682;Kerdijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kerdijk;fiscal;Amsterdam
00815;Lieftinck;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Lieftinck;fiscal;Franeker
00057;Bahlmann;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Bahlmann;fiscal;Tilburg
00727;Kolkman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kolkman;fiscal;Rheden
01191;Schepel;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Schepel;fiscal;Appingedam
00696;Kielstra;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kielstra;fiscal;Lochem
01391;Veegens;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Veegens;fiscal;Groningen
01389;Valette;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Valette;fiscal;Gouda
00584;Hintzen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Hintzen;fiscal;Rotterdam
00889;Mees;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Mees;fiscal;Rotterdam
01118;Roell;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Röell;fiscal;Utrecht
00781;Land;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Land;fiscal;Den Helder
00019;van Alphen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Alphen;fiscal;Ommen
01180;Schaepman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Schaepman;fiscal;Almelo
01385;Tijdens;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Tijdens;fiscal;Winschoten
00671;de Kanter;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kanter;fiscal;Bergum
00917;de Meijier;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Meijier;fiscal;Zaandam
00107;van Beuningen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Beuningen;fiscal;Utrecht
00089;van Berckel;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Berckel;fiscal;Loosduinen
00160;Bool;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Bool;fiscal;Leiden
01269;Smeenge;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Smeenge;fiscal;Meppel
00684;van Kerkwijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Kerkwijk;fiscal;Zierikzee
01613;Zijp;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Zijp;fiscal;Enkhuizen
00609;Houwing;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Houwing;fiscal;Wolvega
00553;Heldt;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Heldt;fiscal;Amsterdam
00562;Hennequin;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Hennequin;fiscal;Oostburg
01404;van Velzen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Velzen;fiscal;Bodegraven
01437;Viruly Verbrugge;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Viruly Verbrugge;fiscal;Rotterdam
00462;Gleichman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer;Gleichman;fiscal;Amsterdam
