Unnamed..0,Name,Parliament,b1_nummer,achternaam,voorletters,voorna_a_m_en,roepnaam,prepositie,geslacht,partij_en_fractie_s,begin_periode,einde_periode
0,Philippus van Blom,1883-1884,00132,Blom,Ph.,Philippus,NA,van,m,'pragmatisch' liberaal;liberaal,1865-03-18,1885-10-22
1,Pieter Blussé van Oud-Alblas,1883-1884,00138,Blussé van Oud-Alblas,P.,Pieter,NA,NA,m,Thorbeckiaan;liberaal;Liberale Unie,1850-10-07,1887-05-18
2,Eppo Cremers,1883-1884,00280,Cremers,E.J.J.B.,Epimachus Jacobus Johannes Baptista,Eppo,NA,m,liberaal;Liberale Unie,1869-12-13,1891-01-17
3,Willem Karel van Dedem,1883-1884,00295,Dedem,W.K.,Willem Karel,NA,baron van,m,liberaal;Liberale Unie,1880-09-21,1891-08-21
4,Albertus van Delden,1883-1884,00299,Delden,A.,Albertus,NA,van,m,Thorbeckiaan;liberaal;Liberale Unie;oud- of vrije liberalen,1864-09-19,1898-11-07
5,Herman Jacob Dijckmeester,1883-1884,00360,Dijckmeester,H.J.,Herman Jacob,NA,NA,m,liberaal;Liberale Unie,1877-09-17,1891-11-08
6,Justus Dirks,1883-1884,00316,Dirks,J.,Justus,NA,NA,m,liberaal,1881-03-04,1886-05-17
7,Daniël van Eck,1883-1884,00368,Eck,D.,Daniël,NA,van,m,Thorbeckiaan;liberaal,1849-02-13,1884-10-10
8,Warmold Albertinus van der Feltz,1883-1884,00400,Feltz,W.A.,Warmold Albertinus,NA,baron van der,m,liberaal;Liberale Unie,1877-12-17,1894-03-19
9,Jan van Gennep,1883-1884,00444,Gennep,J.,Jan,NA,van,m,liberaal;Liberale Unie;oud- of vrije liberalen,1878-11-19,1897-04-06
10,Adriaan Gildemeester,1883-1884,00458,Gildemeester,A.,Adriaan,NA,NA,m,liberaal;oud- of vrije liberalen,1883-05-10,1891-09-14
11,Johan George Gleichman,1883-1884,00462,Gleichman,J.G.,Johan George,NA,NA,m,liberaal;oud- of vrije liberalen,1880-09-21,1901-06-08
12,Hendrik Goeman Borgesius,1883-1884,00469,Goeman Borgesius,H.,Hendrik,Hendrik,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1877-11-19,1917-01-17
13,Samuel van Houten,1883-1884,00607,Houten,S.,Samuel,Sam,van,m,liberaal,1869-02-24,1894-03-19
14,Jacob Johan van Kerkwijk,1883-1884,00684,Kerkwijk,J.J.,Jacob Johan,NA,van,m,Thorbeckiaan;liberaal,1863-03-04,1901-05-20
15,Herman Jacob Kist,1883-1884,00701,Kist,H.J.,Herman Jacob,NA,NA,m,liberaal;Liberale Unie,1881-09-19,1888-03-26
16,Franciscus Lieftinck,1883-1884,00815,Lieftinck,F.,Franciscus,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1879-02-18,1917-06-26
17,Gijsbertus Martinus van der Linden,1883-1884,00828,Linden,G.M.,Gijsbertus Martinus,NA,van der,m,Thorbeckiaan;liberaal;Liberale Unie,1849-02-13,1888-03-26
18,Rudolf Pieter Mees R.Azn.,1883-1884,00889,Mees,R.P.,Rudolf Pieter,NA,NA,m,liberaal;oud- of vrije liberalen,1873-10-04,1905-09-18
19,Lucas Oldenhuis Gratama,1883-1884,00998,Oldenhuis Gratama,L.,Lucas,NA,NA,m,liberaal,1867-10-14,1886-02-19
20,Joannes Barendinus van Osenbruggen,1883-1884,01006,Osenbruggen,J.B.,Johannes Barendinus,NA,van,m,liberaal;Liberale Unie,1879-05-13,1889-02-24
21,Otto van Rees,1883-1884,01093,Rees,O.,Otto,Otto,van,m,liberaal,1872-09-17,1884-01-19
22,Joan Röell,1883-1884,01118,Röell,J.,Joan,NA,NA,m,liberaal;oud- of vrije liberalen,1877-09-18,1909-09-20
23,Derk de Ruiter Zijlker,1883-1884,01142,Ruiter Zijlker,D.,Derk,NA,de,m,liberaal;Liberale Unie,1868-04-21,1891-09-14
24,Jan Willem Hendrik Rutgers van Rozenburg,1883-1884,01148,Rutgers van Rozenburg,J.W.H.,Jan Willem Hendrik,NA,NA,m,liberaal;oud- of vrije liberalen,1869-09-21,1897-09-20
25,Jan Schepel,1883-1884,01191,Schepel,J.,Jan,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1874-04-29,1901-09-16
26,Philippe Willem van der Sleijden,1883-1884,01256,Sleyden,Ph.W.,Philippe Willem,NA,van der,m,liberaal;Liberale Unie,1881-03-30,1888-03-26
27,Herman Cornelis Verniers van der Loeff,1883-1884,01424,Verniers van der Loeff,H.C.,Herman Cornelis,NA,NA,m,liberaal;oud- of vrije liberalen,1876-03-15,1891-01-21
28,Willem Adriaan Viruly Verbrugge,1883-1884,01437,Viruly Verbrugge,W.A.,Willem Adriaan,NA,NA,m,Thorbeckiaan;liberaal;oud- of vrije liberalen,1863-03-09,1897-09-20
29,Jan Willem Jacobus de Vos van Steenwijk,1883-1884,01479,Vos van Steenwijk,J.W.J.,Jan Willem Jacobus,NA,baron de,m,liberaal;Liberale Unie,1878-03-18,1888-03-26
30,Roeland van de Werk,1883-1884,01522,Werk,R.,Roeland,NA,van de,m,liberaal,1878-05-13,1884-05-27
31,Schelte Wybenga,1883-1884,01572,Wybenga,S.,Schelte,NA,NA,m,conservatief;'pragmatisch' liberaal;liberaal,1855-06-28,1886-09-08
32,Titus van Asch van Wijck,1883-1884,00042,Asch van Wijck,T.A.J.,Titus Anthony Jacob,Titus,van,m,antirevolutionair,1881-09-19,1891-05-11
33,Gerard Jacob Theodoor Beelaerts van Blokland,1883-1884,00076,Beelaerts van Blokland,G.J.Th.,Gerard Jacob Theodoor,NA,NA,m,antirevolutionair;Vrij-AR,1883-09-17,1897-03-13
34,Marinus Bichon van IJsselmonde,1883-1884,00112,Bichon van IJsselmonde,M.,Marinus,NA,NA,m,antirevolutionair,1866-11-19,1883-09-29
35,Willem Gerard Brantsen van de Zijp,1883-1884,00198,Brantsen van de Zijp,W.G.,Willem Gerard,NA,baron,m,antirevolutionair,1882-12-11,1894-03-19
36,Frederik van Bylandt,1883-1884,00245,Bylandt,W.K.F.P.,Willem Karel Frederik Pieter,Frederik,graaf van,m,antirevolutionair;Vrij-AR;CHP;CHU,1882-11-08,1916-01-26
37,Alexander van Dedem,1883-1884,00293,Dedem,A.,Alexander,NA,baron van,m,antirevolutionair;Vrij-AR;CHP;CHU,1879-09-15,1913-09-15
38,Johannes Hendricus Donner,1883-1884,00334,Donner,J.H.,Johannes Hendricus,NA,NA,m,antirevolutionair;ARP,1880-02-20,1901-09-16
39,Karel Antonie Godin de Beaufort,1883-1884,00465,Godin de Beaufort,K.A.,Karel Antonie,NA,NA,m,antirevolutionair,1882-11-14,1888-03-26
40,Pieter Cornelis 't Hooft,1883-1884,00598,Hooft,P.C.,Pieter Cornelis,NA,'t,m,antirevolutionair,1882-01-27,1886-05-17
41,Gijsbert Hendrik Thomassen à Thuessink van der Hoop van Slochteren,1883-1884,01358,Thomassen à Thuessink van der Hoop van Slochteren,G.H.,Gijsbert Hendrik,NA,NA,m,antirevolutionair,1882-04-27,1886-05-17
42,Levinus Wilhelmus Christiaan Keuchenius,1883-1884,00691,Keuchenius,L.W.Ch.,Levinus Wilhelmus Christiaan,NA,NA,m,antirevolutionair,1866-08-08,1893-12-16
43,Æneas Mackay jr.,1883-1884,00862,Mackay,Æ.,Æneas,NA,baron,m,antirevolutionair;onafhankelijk a.r.,1876-05-02,1905-09-18
44,Theodoor Philip Mackay,1883-1884,00864,Mackay,Th.Ph.,Theodoor Philip,NA,baron,m,antirevolutionair;Vrij-AR,1882-06-28,1896-12-31
45,Jozef Jan Pompe van Meerdervoort,1883-1884,01050,Pompe van Meerdervoort,J.J.,Jozef Jan,NA,NA,m,antirevolutionair;ARP,1881-09-20,1905-09-18
46,Alexander Frederik de Savornin Lohman,1883-1884,01177,Savornin Lohman,A.F.,Alexander Frederik,NA,de,m,antirevolutionair;Vrij-AR;CHP;CHU,1879-09-15,1921-02-07
47,Alex Schimmelpenninck van der Oye,1883-1884,01203,Schimmelpenninck van der Oye,A.,Alexander,Alex,baron,m,antirevolutionair,1873-09-15,1888-09-30
48,Hendrik Seret,1883-1884,01238,Seret,H.,Hendrik,NA,NA,m,antirevolutionair;ARP,1880-10-04,1905-09-18
49,Otto van Wassenaer van Catwijck,1883-1884,01509,Wassenaer van Catwijck,O.,Otto,NA,baron van,m,antirevolutionair,1866-09-21,1887-11-18
50,Antonius van Baar,1883-1884,00049,Baar,A.J.H.,Antonius Johannes Hubertus,NA,van,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1873-09-15,1889-01-25
51,Bernardus Marie Bahlmann,1883-1884,00057,Bahlmann,B.M.,Bernardus Marie,NA,NA,m,Rooms-Katholieken;Bahlmanniaan ('Centrum'),1880-12-13,1898-05-12
52,Ferdinand Hendrik Hubert Borret,1883-1884,00168,Borret,F.H.H.,Ferdinandus Hendricus Hubertus,NA,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1868-02-25,1888-03-26
53,Hubert Joachim Brouwers,1883-1884,00217,Brouwers,H.J.,Hubert Joachim,NA,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1877-11-19,1889-05-14
54,Jean Clercx,1883-1884,00257,Clercx,J.M.L.H.,Johannes Mattheüs Ludovicus Hubertus,Jean,NA,m,Bahlmanniaan ('Centrum'),1882-03-02,1894-03-19
55,Leopold Haffmans,1883-1884,00508,Haffmans,J.H.L.,Johannes Hendrik Leopold,Leopold,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1866-11-24,1896-09-15
56,Jerôme Lambrechts,1883-1884,00778,Lambrechts,H.F.,Hieronymus Franciscus,Jérôme,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1873-09-15,1896-11-24
57,Carel van Nispen,1883-1884,00701,Kist,H.J.,Herman Jacob,NA,NA,m,liberaal;Liberale Unie,1881-09-19,1888-03-26
58,Anthonie Ernst Reuther,1883-1884,01103,Reuther,A.E.,Anthonie Ernst,NA,NA,m,Bahlmanniaan ('Centrum'),1883-06-20,1889-04-26
59,Gustave Louis Marie Hubert Ruijs de Beerenbrouck,1883-1884,01154,Ruijs van Beerenbroek,G.L.M.H.,Gustave Louis Marie Hubert,Gustave,NA,m,Bahlmanniaan ('Centrum'),1880-12-06,1893-10-06
60,Pierre Guillaume Jean van der Schrieck,1883-1884,01229,Schrieck,P.G.J.,Pierre Guillaume Jean,NA,van der,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1876-02-22,1896-03-04
61,Wynandus Gustavus Straetmans,1883-1884,01318,Straetmans,W.G.,Wynandus Gustavus,NA,NA,m,Bahlmanniaan ('Centrum'),1882-09-22,1886-01-15
62,Petrus Jacobus Franciscus Vermeulen,1883-1884,01422,Vermeulen,P.J.F.,Petrus Jacobus Franciscus,NA,NA,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken,1880-06-29,1901-09-16
63,Antonius Franciscus Vos de Wael,1883-1884,01483,Vos de Wael,A.F.,Antonius Franciscus,NA,NA,m,Bahlmanniaan ('Centrum'),1883-09-18,1897-09-20
64,Willem Adriaan Bergsma,1883-1884,00102,Bergsma,W.A.,Willem Adriaan,NA,NA,m,liberaal;Kappeynianen,1871-09-18,1884-10-10
65,Jacob Leonard de Bruyn Kops,1883-1884,00232,Bruijn Kops,J.L.,Jacob Leonard,NA,de,m,liberaal;Kappeynianen;Liberale Unie,1868-02-25,1887-08-16
66,Age Buma,1883-1884,00239,Buma,A.,Age,NA,NA,m,Kappeynianen;Liberale Unie,1882-01-27,1888-03-26
67,Willem van Heeckeren van Kell,1883-1884,00534,Heeckeren van Kell,W.,Willem,NA,baron van,m,Kappeynianen,1882-01-19,1884-10-10
68,Sybrand Hingst,1883-1884,00583,Hingst,S.,Sybrand,NA,NA,m,liberaal;Kappeynianen,1866-11-19,1886-05-17
69,Idzerd Frans van Humalda van Eysinga,1883-1884,00618,Humalda van Eysinga,I.F.,Idzerd Frans,NA,van,m,Kappeynianen,1879-09-16,1884-04-15
70,Klaas de Jong,1883-1884,00650,Jong,K.H.,Klaas Harshoorn,Klaas,de,m,liberaal;Kappeynianen,1871-09-18,1886-05-17
71,Willem van der Kaay,1883-1884,00666,Kaay,W.,Willem,NA,van der,m,liberaal;Kappeynianen;Liberale Unie,1875-08-10,1894-03-19
72,Willem de Meijier,1883-1884,00917,Meijier,W.,Willem,NA,de,m,liberaal;Kappeynianen;Liberale Unie,1877-12-10,1894-03-19
73,Charles Jean François Mirandolle,1883-1884,00930,Mirandolle,Ch.J.F.,Charles Jean François,NA,NA,m,liberaal;Kappeynianen,1869-02-20,1884-06-20
74,Karel Anton Rombach,1883-1884,01121,Rombach,K.A.,Karel Anton,NA,NA,m,Thorbeckiaan;liberaal;Kappeynianen,1869-09-21,1884-10-10
75,Johannes Tak van Poortvliet,1883-1884,01339,Tak van Poortvliet,J.P.R.,Johannes Pieter Roetert,NA,NA,m,liberaal;Kappeynianen;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1870-10-21,1901-01-23
76,Hendrikus Octavius Wichers,1883-1884,01540,Wichers,H.O.,Hendrikus Octavius,NA,NA,m,Kappeynianen,1881-09-19,1884-10-10
77,Jan Reijnaud Corver Hooft,1883-1884,00273,Corver Hooft,J.R.,Jan Reijnaud,NA,NA,m,conservatief,1875-09-20,1887-08-16
78,Herman Albrecht Insinger,1883-1884,00628,Insinger,H.A.,Herman Albrecht,NA,NA,m,conservatief,1866-11-19,1884-04-06
79,Rutger Jan Schimmelpenninck van Nijenhuis,1883-1884,01202,Schimmelpenninck van Nijenhuis,R.J.,Rutger Jan,NA,graaf,m,conservatief,1857-09-22,1891-09-14
80,Willem Wintgens,1883-1884,01557,Wintgens,W.,Willem,NA,NA,m,'pragmatisch' liberaal;conservatief,1849-02-13,1885-03-13
81,Herman Agatho des Amorie van der Hoeven,1883-1884,00022,Amorie van der Hoeven,H.A.,Herman Agatho,NA,des,m,Rooms-Katholieken;Schaepmaniaan,1875-09-20,1885-06-17
82,Arnoldus Hyacinthus Maria van Berckel,1883-1884,00089,Berckel,A.H.M.,Arnoldus Hyacinthus Maria,NA,van,m,Schaepmaniaan,1883-09-17,1897-09-20
83,Frederic Joseph Maria Anton Reekers,1883-1884,01091,Reekers,F.J.M.A.,Frederic Joseph Maria Anton,NA,NA,m,Rooms-Katholieken;Schaepmaniaan,1878-03-26,1894-03-19
84,Herman Schaepman,1883-1884,01180,Schaepman,H.J.A.M.,Hermanus Johannes Aloysius Maria,Herman,NA,m,Schaepmaniaan;Rooms-Katholieken,1880-07-15,1903-01-20
85,Jacob Nicolaas Bastert,1883-1884,00066,Bastert,J.N.,Jacob Nicolaas,NA,NA,m,conservatief-liberaal,1875-09-20,1901-09-16
86,Abraham van Laer,1883-1884,00776,Laer,A.,Abraham,NA,van,m,liberaal,1884-05-26,1884-10-10
87,Wilco Julius van Welderen Rengers,1883-1884,01518,Welderen baron Rengers,W.J.,Wilco Julius,NA,van,m,liberaal;Liberale Unie,1884-05-28,1888-03-26
88,Jacob Duyvis,1883-1884,00358,Duyvis,J.,Jacob,NA,NA,m,liberaal,1884-09-15,1886-05-17
89,Ulrich Herman Huber,1883-1884,00612,Huber,U.H.,Ulrich Herman,NA,NA,m,antirevolutionair,1883-11-26,1894-03-19
90,Allard van der Borch van Verwolde,1883-1884,00163,Borch van Verwolde,A.Ph.R.C.,Allard Philip Reinier Carel,NA,baron van der,m,antirevolutionair;ARP,1884-07-29,1913-09-15
91,Maximilien Joseph Caspar Marie Kolkman,1883-1884,00727,Kolkman,M.J.C.M.,Maximilien Joseph Caspar Marie,NA,NA,m,Schaepmaniaan;Rooms-Katholieken;Algemeene Bond (RKSP),1884-05-06,1924-02-18
0,Eilard Jacobus Attema,1884-1886,00044,Attema,E.J.,Eilard Jacobus,NA,NA,m,liberaal,1884-11-17,1885-07-31
1,Willem Hendrik de Beaufort,1884-1886,00071,Beaufort,W.H.,Willem Hendrik,NA,de,m,liberaal;oud- of vrije liberalen;Vrij-Liberalen,1877-04-23,1918-04-01
2,Philippus van Blom,1884-1886,00132,Blom,Ph.,Philippus,NA,van,m,'pragmatisch' liberaal;liberaal,1865-03-18,1885-10-22
3,Pieter Blussé van Oud-Alblas,1884-1886,00138,Blussé van Oud-Alblas,P.,Pieter,NA,NA,m,Thorbeckiaan;liberaal;Liberale Unie,1850-10-07,1887-05-18
4,Jacob Leonard de Bruyn Kops,1884-1886,00232,Bruijn Kops,J.L.,Jacob Leonard,NA,de,m,liberaal;Kappeynianen;Liberale Unie,1868-02-25,1887-08-16
5,Jacob Theodoor Cremer,1884-1886,00279,Cremer,J.Th.,Jacob Theodoor,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub,1884-11-17,1905-09-18
6,Eppo Cremers,1884-1886,00280,Cremers,E.J.J.B.,Epimachus Jacobus Johannes Baptista,Eppo,NA,m,liberaal;Liberale Unie,1869-12-13,1891-01-17
7,Willem Karel van Dedem,1884-1886,00295,Dedem,W.K.,Willem Karel,NA,baron van,m,liberaal;Liberale Unie,1880-09-21,1891-08-21
8,Albertus van Delden,1884-1886,00299,Delden,A.,Albertus,NA,van,m,Thorbeckiaan;liberaal;Liberale Unie;oud- of vrije liberalen,1864-09-19,1898-11-07
9,Justus Dirks,1884-1886,00316,Dirks,J.,Justus,NA,NA,m,liberaal,1881-03-04,1886-05-17
10,Jacob Duyvis,1884-1886,00358,Duyvis,J.,Jacob,NA,NA,m,liberaal,1884-09-15,1886-05-17
11,Warmold Albertinus van der Feltz,1884-1886,00400,Feltz,W.A.,Warmold Albertinus,NA,baron van der,m,liberaal;Liberale Unie,1877-12-17,1894-03-19
12,Jan van Gennep,1884-1886,00444,Gennep,J.,Jan,NA,van,m,liberaal;Liberale Unie;oud- of vrije liberalen,1878-11-19,1897-04-06
13,Adriaan Gildemeester,1884-1886,00458,Gildemeester,A.,Adriaan,NA,NA,m,liberaal;oud- of vrije liberalen,1883-05-10,1891-09-14
14,Johan George Gleichman,1884-1886,00462,Gleichman,J.G.,Johan George,NA,NA,m,liberaal;oud- of vrije liberalen,1880-09-21,1901-06-08
15,Gerardus Jacobus Goekoop,1884-1886,00468,Goekoop,G.J.,Gerardus Jacobus,NA,NA,m,liberaal;oud- of vrije liberalen,1884-11-17,1904-12-20
16,Hendrik Goeman Borgesius,1884-1886,00469,Goeman Borgesius,H.,Hendrik,Hendrik,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1877-11-19,1917-01-17
17,Samuel van Houten,1884-1886,00607,Houten,S.,Samuel,Sam,van,m,liberaal,1869-02-24,1894-03-19
18,Jacob Johan van Kerkwijk,1884-1886,00684,Kerkwijk,J.J.,Jacob Johan,NA,van,m,Thorbeckiaan;liberaal,1863-03-04,1901-05-20
19,Egbert Broer Kielstra,1884-1886,00696,Kielstra,E.B.,Egbert Broer,NA,NA,m,liberaal,1884-11-17,1894-03-19
20,Herman Jacob Kist,1884-1886,00701,Kist,H.J.,Herman Jacob,NA,NA,m,liberaal;Liberale Unie,1881-09-19,1888-03-26
21,Franciscus Lieftinck,1884-1886,00815,Lieftinck,F.,Franciscus,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1879-02-18,1917-06-26
22,Gijsbertus Martinus van der Linden,1884-1886,00828,Linden,G.M.,Gijsbertus Martinus,NA,van der,m,Thorbeckiaan;liberaal;Liberale Unie,1849-02-13,1888-03-26
23,Rudolf Pieter Mees R.Azn.,1884-1886,00889,Mees,R.P.,Rudolf Pieter,NA,NA,m,liberaal;oud- of vrije liberalen,1873-10-04,1905-09-18
24,Lucas Oldenhuis Gratama,1884-1886,00998,Oldenhuis Gratama,L.,Lucas,NA,NA,m,liberaal,1867-10-14,1886-02-19
25,Johannes Barendinus van Osenbruggen,1884-1886,01006,Osenbruggen,J.B.,Johannes Barendinus,NA,van,m,liberaal;Liberale Unie,1879-05-13,1889-02-24
26,Sebastiaan Mattheüs Sigismund de Ranitz,1884-1886,01081,Ranitz,S.M.S.,Sebastiaan Mattheüs Sigismund,NA,de,m,liberaal,1884-11-17,1888-03-26
27,Joan Röell,1884-1886,01118,Röell,J.,Joan,NA,NA,m,liberaal;oud- of vrije liberalen,1877-09-18,1909-09-20
28,Willem Rooseboom,1884-1886,01130,Rooseboom,W.,Willem,NA,NA,m,liberaal;Liberale Unie,1884-11-17,1891-09-14
29,Derk de Ruiter Zijlker,1884-1886,01142,Ruiter Zijlker,D.,Derk,NA,de,m,liberaal;Liberale Unie,1868-04-21,1891-09-14
30,Jan Willem Hendrik Rutgers van Rozenburg,1884-1886,01148,Rutgers van Rozenburg,J.W.H.,Jan Willem Hendrik,NA,NA,m,liberaal;oud- of vrije liberalen,1869-09-21,1897-09-20
31,Jan Schepel,1884-1886,01191,Schepel,J.,Jan,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1874-04-29,1901-09-16
32,Philippe Willem van der Sleijden,1884-1886,01256,Sleyden,Ph.W.,Philippe Willem,NA,van der,m,liberaal;Liberale Unie,1881-03-30,1888-03-26
33,Herman Cornelis Verniers van der Loeff,1884-1886,01424,Verniers van der Loeff,H.C.,Herman Cornelis,NA,NA,m,liberaal;oud- of vrije liberalen,1876-03-15,1891-01-21
34,Willem Adriaan Viruly Verbrugge,1884-1886,01437,Viruly Verbrugge,W.A.,Willem Adriaan,NA,NA,m,Thorbeckiaan;liberaal;oud- of vrije liberalen,1863-03-09,1897-09-20
35,Jan Willem Jacobus de Vos van Steenwijk,1884-1886,01479,Vos van Steenwijk,J.W.J.,Jan Willem Jacobus,NA,baron de,m,liberaal;Liberale Unie,1878-03-18,1888-03-26
36,Schelte Wybenga,1884-1886,01572,Wybenga,S.,Schelte,NA,NA,m,conservatief;'pragmatisch' liberaal;liberaal,1855-06-28,1886-09-08
37,Jan van Alphen,1884-1886,00019,Alphen,J.,Jan,Jan,van,m,antirevolutionair;ARP,1884-12-08,1908-09-08
38,Titus van Asch van Wijck,1884-1886,00042,Asch van Wijck,T.A.J.,Titus Anthony Jacob,Titus,van,m,antirevolutionair,1881-09-19,1891-05-11
39,Frederik Willem Jacob van Aylva van Pallandt,1884-1886,00046,Aylva baron van Pallandt,F.W.J.,Frederik Willem Jacob,NA,van,m,antirevolutionair,1884-11-17,1888-03-26
40,Gerard Jacob Theodoor Beelaerts van Blokland,1884-1886,00076,Beelaerts van Blokland,G.J.Th.,Gerard Jacob Theodoor,NA,NA,m,antirevolutionair;Vrij-AR,1883-09-17,1897-03-13
41,Allard van der Borch van Verwolde,1884-1886,00163,Borch van Verwolde,A.Ph.R.C.,Allard Philip Reinier Carel,NA,baron van der,m,antirevolutionair;ARP,1884-07-29,1913-09-15
42,Willem Gerard Brantsen van de Zijp,1884-1886,00198,Brantsen van de Zijp,W.G.,Willem Gerard,NA,baron,m,antirevolutionair,1882-12-11,1894-03-19
43,Frederik van Bylandt,1884-1886,00245,Bylandt,W.K.F.P.,Willem Karel Frederik Pieter,Frederik,graaf van,m,antirevolutionair;Vrij-AR;CHP;CHU,1882-11-08,1916-01-26
44,Alexander van Dedem,1884-1886,00293,Dedem,A.,Alexander,NA,baron van,m,antirevolutionair;Vrij-AR;CHP;CHU,1879-09-15,1913-09-15
45,Johannes Hendricus Donner,1884-1886,00334,Donner,J.H.,Johannes Hendricus,NA,NA,m,antirevolutionair;ARP,1880-02-20,1901-09-16
46,Jan Christiaan Fabius,1884-1886,00396,Fabius,J.Ch.,Jan Christiaan,NA,NA,m,antirevolutionair,1881-09-20,1890-03-25
47,Barthold Jacob Lintelo de Geer van Jutphaas,1884-1886,00433,Lintelo baron de Geer van Jutphaas,B.J.,Barthold Jacob,NA,NA,m,antirevolutionair,1884-12-08,1894-03-19
48,Karel Antonie Godin de Beaufort,1884-1886,00465,Godin de Beaufort,K.A.,Karel Antonie,NA,NA,m,antirevolutionair,1882-11-14,1888-03-26
49,Pieter Cornelis 't Hooft,1884-1886,00598,Hooft,P.C.,Pieter Cornelis,NA,'t,m,antirevolutionair,1882-01-27,1886-05-17
50,Gijsbert Hendrik Thomassen à Thuessink van der Hoop van Slochteren,1884-1886,01358,Thomassen à Thuessink van der Hoop van Slochteren,G.H.,Gijsbert Hendrik,NA,NA,m,antirevolutionair,1882-04-27,1886-05-17
51,Ulrich Herman Huber,1884-1886,00612,Huber,U.H.,Ulrich Herman,NA,NA,m,antirevolutionair,1883-11-26,1894-03-19
52,Levinus Wilhelmus Christiaan Keuchenius,1884-1886,00691,Keuchenius,L.W.Ch.,Levinus Wilhelmus Christiaan,NA,NA,m,antirevolutionair,1866-08-08,1893-12-16
53,Æneas Mackay jr.,1884-1886,00862,Mackay,Æ.,Æneas,NA,baron,m,antirevolutionair;onafhankelijk a.r.,1876-05-02,1905-09-18
54,Theodoor Philip Mackay,1884-1886,00864,Mackay,Th.Ph.,Theodoor Philip,NA,baron,m,antirevolutionair;Vrij-AR,1882-06-28,1896-12-31
55,Jozef Jan Pompe van Meerdervoort,1884-1886,01050,Pompe van Meerdervoort,J.J.,Jozef Jan,NA,NA,m,antirevolutionair;ARP,1881-09-20,1905-09-18
56,Alexander Frederik de Savornin Lohman,1884-1886,01177,Savornin Lohman,A.F.,Alexander Frederik,NA,de,m,antirevolutionair;Vrij-AR;CHP;CHU,1879-09-15,1921-02-07
57,Jan Elias Nicolaas Schimmelpenninck van der Oye,1884-1886,01204,Schimmelpenninck van der Oye,J.E.N.,Jan Elias Nicolaas,NA,baron,m,antirevolutionair,1884-11-17,1894-03-19
58,Hendrik Seret,1884-1886,01238,Seret,H.,Hendrik,NA,NA,m,antirevolutionair;ARP,1880-10-04,1905-09-18
59,Otto van Wassenaer van Catwijck,1884-1886,01509,Wassenaer van Catwijck,O.,Otto,NA,baron van,m,antirevolutionair,1866-09-21,1887-11-18
60,Antonius van Baar,1884-1886,00049,Baar,A.J.H.,Antonius Johannes Hubertus,NA,van,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1873-09-15,1889-01-25
61,Bernardus Marie Bahlmann,1884-1886,00057,Bahlmann,B.M.,Bernardus Marie,NA,NA,m,Rooms-Katholieken;Bahlmanniaan ('Centrum'),1880-12-13,1898-05-12
62,Ferdinand Hendrik Hubert Borret,1884-1886,00168,Borret,F.H.H.,Ferdinandus Hendricus Hubertus,NA,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1868-02-25,1888-03-26
63,Hubert Joachim Brouwers,1884-1886,00217,Brouwers,H.J.,Hubert Joachim,NA,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1877-11-19,1889-05-14
64,Jean Clercx,1884-1886,00257,Clercx,J.M.L.H.,Johannes Mattheüs Ludovicus Hubertus,Jean,NA,m,Bahlmanniaan ('Centrum'),1882-03-02,1894-03-19
65,Leopold Haffmans,1884-1886,00508,Haffmans,J.H.L.,Johannes Hendrik Leopold,Leopold,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1866-11-24,1896-09-15
66,Jerôme Lambrechts,1884-1886,00778,Lambrechts,H.F.,Hieronymus Franciscus,Jérôme,NA,m,conservatief (katholiek);Bahlmanniaan ('Centrum'),1873-09-15,1896-11-24
67,Anthonie Ernst Reuther,1884-1886,01103,Reuther,A.E.,Anthonie Ernst,NA,NA,m,Bahlmanniaan ('Centrum'),1883-06-20,1889-04-26
