Unnamed..0,Name,Parliament,b1_nummer,achternaam,voorletters,voorna_a_m_en,roepnaam,prepositie,geslacht,partij_en_fractie_s,begin_periode,einde_periode
10,Aart Knijff Hzn.,1897-1901,00714,Knijff,A.,Aart,NA,NA,m,vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1894-05-16,1901-09-16
11,Cornelis Lely,1897-1901,00802,Lely,C.,Cornelis,NA,NA,m,vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;Liberale Unie;Vrijheidsbond,1894-05-16,1922-06-23
12,Franciscus Lieftinck,1897-1901,00815,Lieftinck,F.,Franciscus,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1879-02-18,1917-06-26
13,Jacobus Marinus Pijnacker Hordijk,1897-1901,01067,Pijnacker Hordijk,J.M.,Jacobus Marinus,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;VDB,1891-09-15,1905-09-18
14,Eduard Ellis van Raalte,1897-1901,01075,Raalte,E.E.,Eduard Ellis,NA,van,m,vrijzinnig-democratische kamerclub;VDB;Liberale Unie,1897-09-21,1918-09-16
15,Pieter Rink,1897-1901,01113,Rink,P.,Pieter,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;Vrijheidsbond,1891-09-15,1922-06-23
16,Petrus Hendrik Roessingh,1897-1901,01120,Roessingh,P.H.,Petrus Hendrik,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1891-09-15,1913-09-15
17,Eelko Schaafsma,1897-1901,01179,Schaafsma,E.,Eelco,Eelco,NA,m,vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1894-05-16,1901-09-16
18,Jan Schepel,1897-1901,01191,Schepel,J.,Jan,NA,NA,m,liberaal;Liberale Unie;vooruitstrevende kamerclub;'club-Pyttersen';vrijzinnig-democratische kamerclub,1874-04-29,1901-09-16
19,Harm Smeenge,1897-1901,01269,Smeenge,H.,Harm,Harm,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1886-04-05,1918-09-16
20,Eerke Albert Smidt,1897-1901,01271,Smidt,E.A.,Eerke Albert,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub;VDB,1893-11-28,1913-09-15
21,Johannes Tak van Poortvliet,1897-1901,01339,Tak van Poortvliet,J.P.R.,Johannes Pieter Roetert,NA,NA,m,liberaal;Kappeynianen;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1870-10-21,1901-01-23
22,Jacob Dirk Veegens,1897-1901,01391,Veegens,J.D.,Jacob Dirk,NA,NA,m,Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1888-05-02,1901-09-16
23,Bernardus Marie Bahlmann,1897-1901,00057,Bahlmann,B.M.,Bernardus Marie,NA,NA,m,Rooms-Katholieken;Bahlmanniaan ('Centrum'),1880-12-13,1898-05-12
24,Willem Henricus Jacobus Theodorus van Basten Batenburg,1897-1901,00065,Basten Batenburg,W.H.J.Th.,Willem Henricus Jacobus Theodorus,NA,van,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken,1894-09-18,1901-09-16
25,Isaäc Burchard Diederik van den Berch van Heemstede,1897-1901,00087,Berch van Heemstede,I.B.D.,Isaäc Burchard Diederik,NA,van den,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP),1891-09-15,1916-07-31
26,Charles Casimir Marie Hubert de Bieberstein Rogalla Zawadsky,1897-1901,00114,Bieberstein Rogalla Zawadsky,Ch.C.M.H.,Charles Casimir Marie Hubert,NA,baron de,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken,1897-02-16,1901-09-16
27,Franciscus Theodorus Johannes Hubertus Dobbelmann,1897-1901,00318,Dobbelmann,F.Th.J.H.,Franciscus Theodorus Johannes Hubertus,NA,NA,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken,1889-07-09,1901-09-16
28,Willem Everts,1897-1901,00391,Everts,W.,Willem,Willem,NA,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken,1893-11-14,1900-06-07
29,Jan Harte van Tecklenburg,1897-1901,00522,Harte van Tecklenburg,J.J.I.,Joannes Josephus Ignatius,Jan,NA,m,Bahlmanniaan ('Centrum') ;Rooms-Katholieken,1888-05-01,1901-07-31
