"achternaam","voornaam","tussenvoegsel","jaar","maand","dag","type verkiezing","districtsnaam","aantal stemmen","omvang_electoraat","zetels","drempel"
"Bastert","J.N. ",,"1879","11","4","tussentijds","Utrecht","1187","2751","1.0","1149.0"
"Bastert","J.N. ",,"1883","6","12","periodiek","Utrecht","1109","2953","1.0","1095.0"
"Bastert","J.N. ",,"1884","10","28","algemeen","Utrecht","1154","3048","2.0","1064.0"
"Bastert","J.N. ",,"1894","5","15","tussentijds","Utrecht","1542","4384","1.0","1252.0"
"Bastert","J.N. ",,"1897","6","25","herstemming","Utrecht II","2077","4142","1.0","1808.0"
"Baud","J.C. ",,"1850","8","27","algemeen","Rotterdam","744","1659","2.0","557.0"
"Baud","J.C. ",,"1850","8","27","algemeen","Den Haag","698","2025","2.0","567.0"
"Baud","J.C. ",,"1853","5","31","herstemming","Rotterdam","779","1795","2.0","747.0"
"Baud","J.C. ",,"1853","5","31","herstemming","Den Haag","901","2101","1.0","703.0"
"Baud","J.C. ",,"1853","5","31","herstemming","Amsterdam","1246","3873","3.0","1056.0"
"Baud","J.C. ",,"1854","6","27","herstemming","Amsterdam","1087","3873","1.0","843.0"
"Beaufort","W.H. de",,"1877","4","17","tussentijds","Tiel","759","3108","1.0","735.0"
"Beaufort","W.H. de",,"1879","6","10","periodiek","Tiel","983","3104","1.0","978.0"
"Beaufort","W.H. de",,"1884","10","28","algemeen","Amsterdam","2316","5595","7.0","1684.0"
"Beaufort","W.H. de",,"1886","6","15","algemeen","Amsterdam","2368","6059","7.0","1648.0"
"Beaufort","W.H. de",,"1887","9","1","algemeen","Amsterdam","1191","6001","7.0","765.0"
"Beaufort","W.H. de",,"1888","3","20","herstemming","Amsterdam","5009","20887","1.0","2869.0"
"Beaufort","W.H. de",,"1891","6","9","algemeen","Amsterdam","7078","22531","9.0","6626.0"
"Beaufort","W.H. de",,"1891","6","23","herstemming","Wijk bij Duurstede","1463","3260","1.0","1456.0"
"Beaufort","W.H. de",,"1894","4","10","algemeen","Utrecht","1867","4366","1.0","1814.0"
"Beaufort","W.H. de",,"1894","4","24","herstemming","Amsterdam","9131","23112","4.0","5187.0"
"Beaufort","W.H. de",,"1894","4","24","herstemming","Wijk bij Duurstede","1509","3248","1.0","1353.0"
"Beaufort","W.H. de",,"1894","4","24","herstemming","Delft","1523","3269","1.0","1153.0"
"Beaufort","W.H. de",,"1898","12","7","herstemming","Deventer","2889","6451","1.0","2435.0"
"Beaufort","W.H. de",,"1905","6","16","algemeen","Amsterdam VI","2370","5505","1.0","2196.0"
"Beaufort","W.H. de",,"1909","6","23","herstemming","Amsterdam VI","2376","5857","1.0","2282.0"
"Beaufort","W.H. de",,"1913","6","17","algemeen","Amsterdam VI","2547","6048","1.0","2433.0"
"Beaufort","W.H. de",,"1913","6","25","herstemming","Amersfoort","5950","12193","1.0","5793.0"
"Beaufort","W.H. de",,"1917","6","15","algemeen","Amersfoort","4411","14218","1.0","2453.0"
"Beckers","J.H.J. ",,"1903","7","30","tussentijds","Sittard","2582","6769","1.0","2369.0"
"Beckers","J.H.J. ",,"1905","6","16","algemeen","Sittard","1919","6935","1.0","1121.0"
"Beckers","J.H.J. ",,"1913","6","17","algemeen","Sittard","4548","8961","1.0","3554.0"
"Beelaerts van Blokland","G.J.T. ",,"1883","6","12","periodiek","Tiel","1451","3230","1.0","1339.0"
"Beelaerts van Blokland","G.J.T. ",,"1884","10","28","algemeen","Tiel","1437","3266","2.0","1400.0"
"Beelaerts van Blokland","G.J.T. ",,"1886","6","15","algemeen","Tiel","1609","3401","2.0","1577.0"
"Beelaerts van Blokland","G.J.T. ",,"1887","9","1","algemeen","Tiel","1605","3377","2.0","1370.0"
"Beelaerts van Blokland","G.J.T. ",,"1888","4","10","tussentijds","Steenwijk","1400","2900","1.0","1295.0"
"Beelaerts van Blokland","G.J.T. ",,"1891","6","9","algemeen","Steenwijk","1432","2864","1.0","1221.0"
"Beelaerts van Blokland","G.J.T. ",,"1894","5","18","tussentijds","Delft","1120","3265","1.0","989.0"
"Beens","C.C.A. ",,"1852","6","22","herstemming","Tilburg","755","2980","1.0","615.0"
"Beens","C.C.A. ",,"1853","5","31","herstemming","Tilburg","1008","2978","2.0","902.0"
"Beens","C.C.A. ",,"1854","6","22","tussentijds","Tilburg","932","2978","1.0","634.0"
"Beens","C.C.A. ",,"1856","6","10","periodiek","Tilburg","925","3043","1.0","552.0"
